bin(1h),FailureCount
2024-12-29 06:00:00.000,2
2024-12-27 10:00:00.000,170
2024-12-27 06:00:00.000,4
2024-12-27 04:00:00.000,2
2024-12-26 02:00:00.000,2
2024-12-24 09:00:00.000,2
2024-12-24 08:00:00.000,2
2024-12-23 06:00:00.000,4
2024-12-23 03:00:00.000,2
2024-12-22 06:00:00.000,2
2024-12-21 03:00:00.000,10
2024-12-20 08:00:00.000,2
2024-12-19 08:00:00.000,2
